id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1147779125647711516,Bonfim Serviced Apartments: OPO Studio!,575403668,Cátia,PORTO,Campanhã,41.1528385,-8.5915998,Entire home/apt,74,2,6,2024-09-02,1.42,1,358,6,152746/AL
1147779854632022122,Cama (2B4) - Quarto partilhado,568051113,Bookwise,PORTO,Bonfim,41.16383,-8.59991,Entire home/apt,25,2,1,2024-06-25,0.37,35,90,1,146695/AL
1147789133502684257,Cama (2C1) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16570059632177,-8.600450589952306,Shared room,25,2,0,,,35,178,0,146695/AL
1147794158373305519,Cama (2C2) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16536667128956,-8.600275898865123,Shared room,28,2,0,,,35,178,0,146695/AL
1147797171009463957,Cama (2C3) - Quarto partilhado,568051113,Bookwise,PORTO,Bonfim,41.16398669516497,-8.600496773373138,Shared room,25,2,0,,,35,178,0,146695/AL
1147799790222160109,Cama (2C4) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.1658543998478,-8.600234400919785,Shared room,25,2,1,2024-06-09,0.31,35,178,1,146695/AL
1147805067745320294,Cama (3A1) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16575,-8.60083,Shared room,25,2,0,,,35,178,0,146695/AL
1147810625373162142,Cama (3A2) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16573589250068,-8.600659902474721,Shared room,28,2,0,,,35,178,0,146695/AL
1147815433949494158,Cama (3A3) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16412832334427,-8.601976340341778,Shared room,25,2,0,,,35,178,0,146695/AL
1147823609418779476,Cama (3A4) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.165116858127185,-8.601606053474583,Shared room,28,2,0,,,35,178,0,146695/AL
1147829029976106228,Cama (3B1) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16583434077305,-8.600526419425664,Shared room,25,2,0,,,35,268,0,146695/AL
