,license,license_cleaned
3580,124923/AL,124923
3581,78422/AL,78422
3582,nan,
3584,nan,
3585,66355/AL,66355
3586,68963/AL,68963
3588,68682/AL,68682
3589,69261/AL,69261
3590,74664/AL,74664
3591,68226/AL,68226
3596,68757/AL,68757
3597,68756/AL,68756
3598,100994/AL,100994
3599,122367/AL,122367
3601,70431/AL,70431
3602,67330/AL,67330
3603,72070/AL,72070
3605,63545/AL,63545
3606,69670/AL,69670
3607,nan,
3608,nan,
3609,118775/AL,118775
3610,55201,55201
3611,64706/AL,64706
3612,70506/AL,70506
3613,69702/AL,69702
3614,68739/AL,68739
3615,70428/AL,70428
3616,71986/AL,71986
3617,69969/AL,69969
3618,68923/AL,68923
3619,68753/AL,68753
3620,71245/AL,71245
3621,67401/AL,67401
3622,68752/AL,68752
3623,71239/AL,71239
3625,nan,
3626,74989/AL,74989
3627,70787/AL,70787
3630,82112/AL,82112
3632,71641/AL,71641
3635,69931/AL,69931
3637,15070/AL,15070
3639,nan,
3640,68470/AL,68470
3641,106524/AL,106524
3646,79793/AL,79793
3647,60178/AL,60178
3648,67453/AL,67453
3649,nan,
3650,69821/AL,69821
3652,70263/AL,70263
3657,71411/AL,71411
3658,70596/AL,70596
3659,68950/AL,68950
3664,71986/AL,71986
3665,72026/AL,72026
3668,70923/AL,70923
3670,71320/AL,71320
3671,71025/AL,71025
3672,nan,
3673,114219/AL,114219
3675,61528/AL,61528
3676,70522/AL,70522
3677,114218/AL,114218
3678,70522/AL,70522
3679,63702/AL,63702
3682,70522/AL,70522
3683,5013/AL,5013
3684,70522/AL,70522
3687,69698/AL,69698
3688,55201,55201
3690,101693/AL,101693
3692,nan,
3693,73631/AL,73631
3694,72315/AL,72315
3697,67235 / AL,67235
3698,87532/AL,87532
3700,51218/AL,51218
3703,70742,70742
3705,nan,
3707,70607/AL,70607
3709,66131/AL,66131
3711,75327/AL,75327
3713,80266/AL,80266
3715,71005/AL,71005
3716,73316/AL,73316
3717,66131/AL,66131
3720,72296/AL,72296
3721,101688/AL,101688
3723,65729/AL,65729
3724,70641/AL,70641
3726,77421,77421
3727,69582/AL,69582
3728,53757/AL,53757
3729,69789/AL.,69789
3730,67871/AL,67871
3731,71889/AL,71889
3732,72466/AL,72466
3733,nan,
3734,59794/AL,59794
3735,72758/AL,72758
3736,nan,
3741,64308/AL,64308
3742,nan,
3743,63993AL,63993
3744,64308/AL,64308
3745,nan,
3746,nan,
3748,nan,
3749,50345/AL,50345
3751,50345/AL,50345
3753,64308/AL,64308
3756,70737/AL,70737
3757,64308/AL,64308
3758,72080/AL,72080
3759,59890/AL,59890
3760,50345/AL,50345
3761,72974/AL,72974
3763,32296,32296
3764,73807/AL,73807
3765,72937/AL,72937
3766,75790/AL,75790
3768,73061/AL,73061
3769,73436/AL,73436
3770,54207/AL,54207
3771,71252/AL,71252
3772,71422/AL,71422
3773,73281/AL,73281
3774,70751/AL,70751
3775,75228/AL,75228
3776,nan,
3778,63021/AL,63021
3779,nan,
3780,70763/AL,70763
3781,50345/AL,50345
3784,71011/AL,71011
3787,75694/AL,75694
3790,71713/AL,71713
3792,48299/AL,48299
3793,77533/Al,77533
3794,121002/AL,121002
3795,74394/AL,74394
3796,72699/AL,72699
3798,74395/AL,74395
3799,71490/AL,71490
3800,74396/AL,74396
3802,74398/AL,74398
3803,74399/AL,74399
3805,75173/AL,75173
3806,nan,
3807,93000/AL,93000
3808,66357/AL,66357
3810,66658/AL,66658
3811,72838/AL,72838
3812,72843/AL,72843
3813,75443/AL,75443
3814,72845/AL,72845
3815,51169/AL,51169
3816,73597/AL,73597
3817,72848/AL,72848
3818,74823/AL,74823
3819,72334/AL,72334
3824,73604/AL,73604
3825,73671/AL,73671
3826,74218/AL,74218
3827,113887/AL,113887
3828,73851/AL,73851
3829,nan,
3832,48892/AL,48892
3833,74252/AL,74252
3834,114060/AL,114060
3835,75436/AL,75436
3837,75022/AL,75022
3838,nan,
3839,75680/AL,75680
3840,nan,
3842,28858/AL,28858
3845,64149/AL,64149
3846,71786/AL,71786
3847,64153/AL,64153
3850,71637/AL,71637
3851,72854/AL,72854
3852,72695/AL,72695
3855,Exempt,
3856,64158/AL,64158
3857,Exempt,
3858,73606/AL,73606
3859,28022/AL,28022
3860,73878/AL,73878
3862,73761/AL,73761
3863,73770/AL,73770
3864,72869/AL,72869
3865,71261/AL,71261
3866,79546/AL,79546
3867,75730/AL,75730
3868,nan,
3869,73789/AL,73789
3871,83775/AL,83775
3873,61528/AL,61528
3875,76338/AL,76338
3876,76328/AL,76328
3877,75806/AL,75806
3878,72930/AL,72930
3879,56649/AL,56649
3880,553/2016,2016
3881,63835/AL,63835
3883,59146/AL,59146
3885,73680/AL,73680
3887,72869/AL,72869
3889,72869/AL,72869
3890,71429/AL,71429
3891,72170/AL,72170
3892,87444/AL,87444
3893,81721/AL,81721
3894,101493/AL,101493
3895,73354/AL,73354
3896,61528/AL,61528
3897,61528/AL,61528
3898,61528/AL,61528
3900,61528/AL,61528
3901,69217/AL,69217
3904,75429/AL,75429
3905,nan,
3911,67360/AL,67360
3912,77148/AL.,77148
3915,87514/AL,87514
3916,72422/AL,72422
3917,DS006_v11.0,006
3918,74223/AL,74223
3920,76064/AL,76064
3921,74544/AL,74544
3922,59358/AL,59358
3923,Exempt,
3924,75279/AL,75279
3925,nan,
3926,81729/AL,81729
3927,72468/AL,72468
3928,75409/AL,75409
3929,75157/AL,75157
3930,nan,
3931,77830/AL,77830
3932,65530/AL,65530
3933,117002/AL,117002
3934,68318/AL,68318
3935,72427/AL,72427
3936,30866/AL,30866
3937,55201/al,55201
3939,nan,
3940,50345/AL,50345
3942,76352/AL,76352
3943,76565/AL,76565
3944,70692/AL,70692
3945,72468/AL,72468
3946,nan,
3948,77507/AL,77507
3949,77966/AL,77966
3951,63182/AL,63182
3952,76365/AL,76365
3953,76365/AL,76365
3954,76869/AL,76869
3955,76365/AL,76365
3957,82323/AL,82323
3958,76365/AL,76365
3959,74938/AL,74938
3960,76581/AL,76581
3961,nan,
3962,nan,
3963,Exempt,
3964,59146/AL,59146
3965,82316/AL,82316
3967,82320/AL ,82320
3968,76365/AL,76365
3969,82104/AL ,82104
3970,48465/2018,48465
3971,47362/AL,47362
3972,68018/AL,68018
3973,76018/AL,76018
3975,101690/AL,101690
3976,76365/AL,76365
3978,67809/AL,67809
3980,75719/AL,75719
3982,76735/AL,76735
3983,5929/AL,5929
3984,77045/AL,77045
3985,77633/AL,77633
3986,78850/AL,78850
3988,81746/AL,81746
3993,76666/AL,76666
3994,76676/AL,76676
3995,75618/AL,75618
3997,22531/AL,22531
3999,Alojamento Local 17503/AL,17503
4000,74547/AL,74547
4001,76505/AL,76505
4002,nan,
4003,77979/AL,77979
4004,77979/AL,77979
4005,60559/AL,60559
4006,75617/AL,75617
4007,77230/AL,77230
4008,77089/AL,77089
4009,77230/AL,77230
4010,63178/AL,63178
4012,77230/AL,77230
4013,78306/AL,78306
4014,77230/AL,77230
4015,77089/AL,77089
4016,77089/AL,77089
4017,76322/AL,76322
4019,97209/AL,97209
4020,67853/AL,67853
4022,75604/AL,75604
4023,77878/AL,77878
4025,77038/AL,77038
4026,78716/AL,78716
4028,77896/AL,77896
4029,78789/AL,78789
4030,78794/AL,78794
4032,77882/AL,77882
4033,77979/AL,77979
4034,69907/AL,69907
4035,83165/AL,83165
4036,77876/AL,77876
4037,77890/AL,77890
4038,77038/AL,77038
4039,77038/AL,77038
4040,83167/AL,83167
4041,52556/AL,52556
4042,83172/AL,83172
4043,83179/AL,83179
4044,103118/AL,103118
4045,83176/AL,83176
4046,77304/AL,77304
4047,83180/AL,83180
4048,77038/AL,77038
4049,65703/AL,65703
4050,53701/AL,53701
4051,71816/AL,71816
4052,101055/AL,101055
4053,77038/AL,77038
4054,77038/AL,77038
4055,42583/AL,42583
4056,78522/AL,78522
4057,79579/AL,79579
4059,nan,
4060,61574/AL,61574
4061,68490/AL,68490
4062,nan,
4064,nan,
4065,77968/AL,77968
4067,nan,
4068,nan,
4071,73294/AL,73294
4072,81717/AL,81717
4073,77335/AL,77335
4074,77384/AL,77384
4076,77049/AL,77049
4079,77562/AL,77562
4080,AL/66153,66153
4081,78317/AL,78317
4082,76298/AL,76298
4083,78333/AL,78333
4084,77884/AL,77884
4085,71675/AL,71675
4086,nan,
4087,Exempt,
4088,76538/AL,76538
4089,78325/AL,78325
4090,78321/AL,78321
4091,52555/AL,52555
4092,78320/AL,78320
4094,73248/AL,73248
4095,78330/AL,78330
4096,16824/AL,16824
4098,nan,
4099,52565/AL,52565
4100,16684/AL,16684
4101,78886/AL,78886
4102,145869/AL,145869
4104,74402/AL,74402
4105,78305/AL,78305
4106,78224/AL,78224
4107,72726/AL,72726
4108,72736/AL,72736
4109,Exempt,
4110,77887/AL,77887
4111,75763/AL,75763
4112,nan,
4114,77979/AL,77979
4116,77979/AL,77979
4117,79431/AL,79431
4119,nan,
4120,74571/AL,74571
4121,nan,
4122,nan,
4123,64264/AL,64264
4125,nan,
4126,81559/AL,81559
4127,76633/AL,76633
4133,103529/AL,103529
4134,78906/AL,78906
4135,77512/AL,77512
4136,103527/AL,103527
4137,77526/AL,77526
4139,59633/AL,59633
4140,59633/AL,59633
4141,59633/AL,59633
4143,58295/2018,58295
4144,78938/AL,78938
4145,70483/AL,70483
4146,nan,
4147,67412/AL,67412
4148,75251/AL,75251
4149,75692/AL,75692
4151,81296/AL,81296
4152,79148/AL,79148
4153,79310/AL,79310
4155,7330/AL,7330
4156,nan,
4158,79613/AL,79613
4160,59809/AL,59809
4161,83406/AL,83406
4162,74075/AL,74075
4164,75211/al,75211
4165,75211/AL,75211
4167,nan,
4168,58922/AL,58922
4170,99954/AL,99954
4171,nan,
4172,81755/AL,81755
4173,78999/AL,78999
4175,77201/AL,77201
4176,76882/AL,76882
4177,78045/AL,78045
4178,75875/AL,75875
4179,78813/AL,78813
4183,79149/AL,79149
4184,76440/AL,76440
4185,79651/AL,79651
4187,79669/AL,79669
4188,79664/AL,79664
4189,79655/AL,79655
4190,84869/AL,84869
4192,79658/AL,79658
4193,81100/AL,81100
4195,78166/AL,78166
4196,78075/AL,78075
4197,78220/AL,78220
4199,nan,
4200,78236/AL,78236
4204,134029/AL,134029
4205,60756/al,60756
4206,87445/AL,87445
4207,89236/AL,89236
4208,134029/AL,134029
4209,Exempt,
4210,78990/AL,78990
4211,134029/AL,134029
4212,77609/AL,77609
4213,78517/AL,78517
4215,75719/AL,75719
4216,50041/AL,50041
4217,80058/AL,80058
4219,80794/AL - Naquele Lugar S Joao,80794
4220,79662/AL,79662
4221,nan,
4222,81384/AL,81384
4223,16772/AL,16772
4224,nan,
4225,80230/AL,80230
4227,80560/AL,80560
4228,80560/AL,80560
4229,77979/AL,77979
4231,80560/AL,80560
4232,80560/AL,80560
4233,78688,78688
4234,80560/AL,80560
4235,79966/AL,79966
4236,80560/AL,80560
4238,79042/AL,79042
4239,80560/AL,80560
4240,77783/AL,77783
4241,80407/AL,80407
4243,65237/AL,65237
4244,82810/AL,82810
4245,48666/AL,48666
4246,nan,
4247,90118/AL,90118
4248,76353/AL,76353
4249,64721/AL,64721
4250,81012/AL,81012
4251,50106/AL,50106
4252,97144/AL,97144
4253,80545/AL,80545
4254,41827/AL,41827
4256,81709/AL,81709
4257,81069/AL,81069
4258,82052/AL,82052
4259,81245/AL,81245
4260,78420/AL,78420
4261,114935/AL,114935
4262,81267/AL,81267
4263,114861/AL,114861
4265,nan,
4267,80337/AL,80337
4268,83410/AL,83410
4269,48666/AL,48666
4270,79791/AL,79791
4271,79038/AL,79038
4273,93759/AL,93759
4274,57634/AL,57634
4276,81506/AL,81506
4277,57634/AL,57634
4281,85789/AL,85789
4282,73951/AL,73951
4283,85777/AL,85777
4284,81339/AL,81339
4285,85585/AL,85585
4287,85771/AL,85771
4288,85749/AL,85749
4289,120098/AL,120098
4290,53755/AL,53755
4291,84074/AL,84074
4292,28964/AL,28964
4293,86322/AL,86322
4294,65866/AL,65866
4295,28964/AL,28964
4296,28964/AL,28964
4297,28964/AL,28964
4298,48666/AL,48666
4299,80639/AL,80639
4300,134029/AL,134029
4301,82198/AL,82198
4304,81352/AL,81352
4306,69957/AL,69957
4310,81167/AL,81167
4312,80534/AL,80534
4313,78296/AL,78296
4316,82774/AL,82774
4318,81390/AL,81390
4319,nº de pedido 83006/2018,83006
4320,81331/AL,81331
4321,48666/AL,48666
4323,82991/AL,82991
4324,77874/AL,77874
4326,81283/AL,81283
4327,84522 /AL,84522
4328,81509/AL,81509
4329,39336/AL,39336
4331,117114/AL,117114
4332,117114/AL,117114
4333,117114/AL,117114
4334,117114/AL,117114
4335,117114/AL,117114
4336,78575/AL,78575
4338,83291/AL,83291
4339,66390,66390
4340,83800/AL,83800
4342,66400,66400
4343,66394,66394
4344,79890/AL,79890
4345,66405,66405
4346,79153/AL,79153
4347,79136/AL,79136
4348,66413,66413
4349,83503/AL,83503
4350,66410,66410
4351,77413/AL,77413
4353,83616/AL,83616
4354,66415,66415
4356,66407,66407
4357,75875/AL,75875
4358,81330/AL,81330
4359,66384,66384
4360,86413/AL,86413
4364,121510/AL,121510
4366,32/AL,32
4367,121510/AL,121510
4369,83624/AL,83624
4370,67222/AL,67222
4371,112436/AL,112436
4372,83627/AL,83627
4373,121510/AL,121510
4374,83560/AL,83560
4375,121510/AL,121510
4376,121510/AL,121510
4377,73965/AL,73965
4378,72881/AL,72881
4379,52647/AL,52647
4380,83897/AL,83897
4381,82336/AL,82336
4382,83281/AL,83281
4384,45491/AL,45491
4386,84067/AL,84067
4387,86438/AL,86438
4388,72468/AL,72468
4391,78255/AL,78255
4392,78103/AL,78103
4393,nan,
4394,15414/AL,15414
4395,nan,
4397,15414/AL,15414
4399,15414/AL,15414
4400,81512/AL,81512
4401,82015/AL,82015
4402,77789/AL,77789
4403,72961/AL,72961
4404,86646/AL,86646
4405,Exempt,
4406,71337/AL,71337
4407,30099/AL,30099
4408,84543/AL,84543
4410,84537/AL,84537
4413,84327/AL,84327
4414,86204/AL,86204
4417,86640/AL,86640
4419,86641/AL,86641
4420,82199/AL,82199
4421,nan,
4422,83378/AL,83378
4424,101070/AL,101070
4425,101066/AL,101066
4426,55390/AL,55390
4427,82543/AL,82543
4429,87519/AL,87519
4430,55390/AL,55390
4432,38706/AL,38706
4433,44212Al,44212
4434,nan,
4435,79832/AL,79832
4436,92796/AL,92796
4438,85131/AL,85131
4439,84684/AL,84684
4440,84929/AL,84929
4441,87519/AL,87519
4443,85381/AL,85381
4444,118420/AL,118420
4445,87519/AL,87519
4447,84684/AL,84684
4448,115579/AL,115579
4450,88195/AL,88195
4452,87519/AL,87519
4453,84541/AL,84541
4454,84327/AL,84327
4455,84842/AL,84842
4456,87519/AL,87519
4458,87519/AL,87519
4459,85377/AL,85377
4460,87519/AL,87519
4461,Exempt,
4462,86452/AL,86452
4463,84295,84295
4464,84684/AL,84684
4465,60203/AL,60203
4466,84684/AL,84684
4469,76309/AL,76309
4470,48666/AL,48666
4471,134029/AL,134029
4472,79798/AL,79798
4473,55390/AL,55390
4474,101061/AL,101061
4475,81708/AL,81708
4477,86630/al,86630
4478,84744/AL,84744
4479,24338/AL,24338
4480,83616/AL,83616
4481,52849/AL,52849
4482,6849/AL,6849
4483,64308/AL,64308
4485,11230/AL,11230
4486,72862/AL,72862
4487,82189/AL,82189
4488,82189/AL,82189
4490,74565,74565
4491,74574,74574
4492,82189/AL,82189
4493,134058/AL,134058
4494,82887/AL,82887
4495,80681/AL,80681
4496,84931/AL,84931
4497,73602/AL,73602
4499,nan,
4500,77486/AL,77486
4501,85382/AL,85382
4503,125641,125641
4504,86616/AL,86616
4505,90565/AL,90565
4507,90566/AL,90566
4508,86288/AL,86288
4510,72856/AL,72856
4511,87727/AL,87727
4515,72881/AL,72881
4516,53105/AL,53105
4517,132711/AL,132711
4518,94700/AL,94700
4519,64573/AL,64573
4521,64574/AL,64574
4522,64569/AL,64569
4523,64567/AL,64567
4524,55201/Al,55201
4525,nan,
4526,80052/AL,80052
4527,87171/AL,87171
4528,86352/AL,86352
4529,77457/AL,77457
4530,80363/AL,80363
4531,14862/AL,14862
4532,86769/AL,86769
4533,87750/AL,87750
4534,101744/AL,101744
4535,89858/2018 AL,89858
4536,57806/AL,57806
4537,nan,
4538,87743/AL,87743
4539,87744/AL,87744
4540,nan,
4541,87745/AL,87745
4542,87746/AL,87746
4543,76200/AL,76200
4544,87828/AL,87828
4545,89285/AL,89285
4548,23107/AL,23107
4549,82883 / AL,82883
4551,83673/AL,83673
4556,93597/AL,93597
4558,82202/AL,82202
4567,77641/AL,77641
4569,88994/AL,88994
4570,76200/AL,76200
4571,119415/AL,119415
4572,86273/AL,86273
4574,77644/AL,77644
4575,76200/AL,76200
4576,89955/AL,89955
4577,84622/AL,84622
4578,82840/AL,82840
4580,91405/AL,91405
4581,75095/AL,75095
4582,77649/AL,77649
4583,81017/AL,81017
4584,76200/AL,76200
4585,89228/AL,89228
4586,84596/AL,84596
4587,76200/AL,76200
4588,80686/AL,80686
4589,86460/AL,86460
4590,80711/AL,80711
4592,74721/AL,74721
4593,84590/AL,84590
4594,78110/AL,78110
4595,84590/AL,84590
4596,84604/AL,84604
4597,82711/AL,82711
4598,86471/AL,86471
4599,80687/AL,80687
4600,40461/AL,40461
4601,80685/AL,80685
4602,40943/AL,40943
4603,nan,
4604,84058/AL,84058
4605,88502/AL,88502
4606,71797/AL,71797
4607,131293/AL,131293
4608,131293/AL,131293
4609,87099/AL,87099
4610,86312/AL,86312
4612,131293/AL,131293
4613,86331/AL,86331
4614,86370/AL,86370
4615,86335/AL,86335
4616,86338/AL,86338
4617,74711/AL,74711
4618,45330/AL,45330
4619,81719/AL,81719
4620,85947/AL,85947
4621,70796/AL,70796
4623,84042/AL,84042
4627,88949/AL,88949
4628,87358/AL,87358
4629,40525/AL,40525
4632,93599/AL,93599
4633,86474/AL,86474
4635,86036/AL,86036
4636,73790/AL,73790
4638,89142/AL,89142
4639,77630/AL,77630
4640,94004/AL,94004
4641,98173/AL,98173
4643,77629/AL,77629
4646,60606/AL,60606
4647,46221/AL,46221
4648,77615/AL,77615
4651,75347/AL,75347
4652,89859/AL,89859
4653,77619/AL,77619
4654,89860/AL,89860
4655,75347/AL,75347
4656,748714,748714
4657,89641/AL,89641
4658,77634/AL,77634
4659,77642/AL,77642
4660,90276/AL,90276
4661,78072/AL,78072
4662,78095/AL,78095
4663,77639/AL,77639
4664,78118/AL,78118
4665,85688/AL,85688
4666,89956/AL,89956
4667,89569/AL,89569
4668,85924/AL,85924
4669,79905/AL,79905
4670,84094/AL,84094
4671,84094/AL,84094
4672,79905/AL,79905
4673,82627/AL,82627
4674,79905/AL,79905
4675,120408/AL,120408
4677,79905/AL,79905
4678,63073/AL,63073
4680,89861/AL,89861
4682,89862/AL,89862
4683,89448/AL,89448
4684,52700,52700
4686,87287/AL,87287
4687,77413,77413
4688,87563/AL,87563
4689,90958/AL,90958
4691,90959/AL,90959
4692,PP-1753-61088-131204-002640,131204
4694,53883/AL,53883
4695,90034/AL,90034
4696,82627/AL,82627
4697,77979/AL,77979
4699,82627/AL,82627
4700,82627/AL,82627
4701,76155/AL,76155
4702,82627/AL,82627
4703,76149/AL,76149
4704,82627/AL,82627
4705,82627/AL,82627
4707,79795/AL,79795
4708,85091/AL,85091
4709,78745/AL,78745
4710,85093/AL,85093
4711,85097/AL,85097
4712,77779/AL,77779
4713,89647/AL,89647
4714,93519/AL,93519
4715,77779/AL,77779
4716,90119/AL.,90119
4717,85133/AL,85133
4719,88961/AL,88961
4720,89648/AL,89648
4721,91715/AL,91715
4722,Exempt,
4724,43145/AL,43145
4726,81771/AL,81771
4728,76155/AL,76155
4729,89792\AL,89792
4730,89235/AL,89235
4731,Exempt,
4732,43145/AL,43145
4733,43145/AL,43145
4734,89792\AL,89792
4735,90159/AL,90159
4736,79905/AL,79905
4737,82894/AL,82894
4738,87263/AL,87263
4739,82894/al,82894
4740,89235/AL,89235
4741,82894/AL,82894
4742,90431/AL,90431
4743,59238/AL,59238
4744,82894/AL,82894
4745,94770/AL,94770
4746,6275/AL,6275
4747,85123/AL,85123
4748,83516/AL,83516
4749,6269/AL,6269
4750,85717/AL,85717
4752,91781/AL,91781
4753,124927/AL,124927
4754,97692/AL,97692
4755,129908/AL,129908
4756,85123/AL,85123
4757,60295/AL,60295
4758,85127/AL,85127
4760,78753/AL,78753
4761,85128/AL,85128
4763,78754/AL,78754
4766,64995/AL,64995
4767,86647/AL,86647
4768,110360/AL,110360
4769,34534/AL,34534
4770,91714/AL,91714
4771,89283/AL,89283
4773,121322/AL,121322
4774,77413,77413
4775,77413,77413
4776,92803/AL,92803
4777,Exempt,
4778,84094/AL,84094
4781,Exempt,
4782,82752/AL,82752
4783,83375/AL,83375
4784,82628/AL,82628
4786,nan,
4788,101743/AL,101743
4789,93461/AL,93461
4791,1345/AL,1345
4792,38706/AL,38706
4793,103066/AL,103066
4795,88792/AL,88792
4796,100382/AL,100382
4797,83988/AL,83988
4798,6037/AL,6037
4800,6037/AL,6037
4801,22956/AL,22956
4803,92188/AL,92188
4804,113488/AL,113488
4808,91679/AL,91679
4809,89993/AL,89993
4811,nan,
4812,78333/AL,78333
4813,93946/AL,93946
4814,82894/AL,82894
4815,48330/AL,48330
4816,84407/AL,84407
4817,78749/AL,78749
4818,nan,
4819,82894/AL,82894
4820,93948/AL,93948
4821,90677/AL,90677
4822,113612/AL,113612
4823,84411/AL,84411
4824,113610/AL,113610
4825,93122/AL,93122
4826,53674/AL,53674
4827,84418/AL,84418
4828,nan,
4829,48529/AL,48529
4830,76054/AL,76054
4834,91362/AL,91362
4835,801057/AL,801057
4836,85174/AL,85174
4837,90953/AL,90953
4839,78947/AL,78947
4840,78955/AL,78955
4841,nan,
4842,117527/AL,117527
4845,75330/AL,75330
4846,81558/AL,81558
4848,86256/AL,86256
4850,75330/AL,75330
4851,nan,
4852,nan,
4853,145140/AL,145140
4854,nan,
4855,75330/AL,75330
4856,81558/AL,81558
4857,75330/AL,75330
4858,75330/AL,75330
4859,81558/AL,81558
4860,75330/AL,75330
4861,91449/AL,91449
4862,nan,
4863,13907/AL,13907
4864,91448/AL,91448
4865,90125/AL,90125
4866,91860/AL,91860
4867,113611/AL,113611
4868,89140/AL,89140
4869,91237/AL,91237
4870,97515/AL,97515
4871,86243/AL,86243
4872,72468/AL,72468
4873,87521/AL,87521
4874,82306/AL,82306
4875,46515/AL,46515
4876,72468/AL,72468
4877,126665/AL,126665
4878,88723/AL,88723
4879,37068/AL,37068
4880,101707/AL,101707
4882,92255/AL,92255
4883,75819/AL,75819
4884,87491/AL,87491
4885,119659/AL,119659
4886,87496/AL,87496
4888,98174/AL,98174
4889,114582/AL,114582
4890,16680/AL,16680
4891,92189/AL,92189
4892,41274/AL,41274
4893,74592/AL,74592
4894,91680/AL,91680
4895,93307/AL,93307
4896,nan,
4897,86616/AL,86616
4898,88722/AL,88722
4899,72468/AL,72468
4900,81558/AL,81558
4901,93515/AL,93515
4902,90128/AL,90128
4903,72468/AL,72468
4904,90129/AL,90129
4906,nan,
4907,72902/AL,72902
4908,92255/AL,92255
4910,92255/AL,92255
4911,101170/AL,101170
4912,92255/AL,92255
4913,92255/Al,92255
4915,92255/AL,92255
4916,89653/AL,89653
4917,Exempt,
4918,92117/AL,92117
4919,89793/AL,89793
4920,93251/AL,93251
4921,92943/AL,92943
4922,90104/AL,90104
4923,90130/AL,90130
4924,90131,90131
4925,91572/AL,91572
4926,87302/AL,87302
4927,79905/AL,79905
4929,91445/AL,91445
4930,91446/AL,91446
4932,55909/AL,55909
4933,90128/AL,90128
4934,4961,4961
4935,4961,4961
4936,4961,4961
4937,4961,4961
4938,4961,4961
4939,4961,4961
4940,4961,4961
4941,68490/AL,68490
4943,80123/AL,80123
4944,94168/AL,94168
4945,42586/AL,42586
4946,6686/AL,6686
4947,85379/AL,85379
4948,914002/AL,914002
4949,91135/AL,91135
4950,80668/AL,80668
4951,nan,
4952,83958/AL,83958
4953,86243/AL,86243
4955,77219/AL,77219
4956,82196/AL,82196
4957,92061/AL,92061
4959,96142/AL,96142
4960,58856/AL,58856
4963,6686/AL,6686
4964,6686/AL,6686
4965,92715/AL,92715
4966,91238/AL,91238
4967,89949/AL,89949
4968,83004/AL,83004
4969,74637/AL,74637
4970,37839/AL,37839
4971,Exempt,
4972,37841/AL,37841
4973,86243/AL,86243
4974,113506/AL,113506
4975,86243/AL,86243
4976,41573/AL,41573
4977,92714/AL,92714
4978,85228/AL,85228
4980,86243/AL,86243
4982,Exempt,
4983,92845/AL,92845
4984,Exempt,
4985,85731/AL,85731
4988,84684/AL,84684
4990,80295/AL,80295
4992,58577/AL,58577
4993,94172/AL,94172
4994,5525/AL,5525
4995,93765/AL,93765
4996,6199/AL,6199
4998,90859/AL,90859
4999,54428/AL,54428
5000,109547/AL,109547
5003,98406/AL,98406
5004,55201,55201
5009,120975/AL,120975
5010,90785\AL,90785
5013,93178-AL,93178
5015,93463/AL,93463
5016,94618/AL,94618
5017,98392/AL,98392
5018,87160/AL,87160
5019,99945/AL,99945
5020,85085/AL,85085
5023,96950/AL,96950
5024,17177/AL,17177
5026,Exempt,
5027,35390/AL,35390
5034,63993AL,63993
5035,93247/AL,93247
5036,67055/AL,67055
5038,35707/AL,35707
5039,94699/AL,94699
5041,95063/AL,95063
5042,95240/AL,95240
5043,93334/AL,93334
5045,113756/AL,113756
5046,93158/AL,93158
5048,93335/AL,93335
5049,121358/AL,121358
5050,92660/AL,92660
5051,91447/AL,91447
5055,46094/AL,46094
5056,80134/AL,80134
5057,93308/AL,93308
5058,120234/AL,120234
5062,55201,55201
5063,93518/AL,93518
5066,94336/AL,94336
5067,79800/AL,79800
5068,89028/AL,89028
5069,71160/AL,71160
5071,93464/AL,93464
5072,120404/AL,120404
5073,95195/AL,95195
5074,96664/AL,96664
5075,55368,55368
5076,85677/AL,85677
5077,95290/AL,95290
5078,94617/AL,94617
5079,31827/AL,31827
5080,96768/AL,96768
5081,85725/AL,85725
5082,85720/AL,85720
5083,RNET 7972,7972
5085,nan,
5087,25627/AL,25627
5089,nan,
5091,95049/AL,95049
5092,100909/AL,100909
5095,78755/AL,78755
5096,93394/AL,93394
5097,Exempt,
5098,Exempt,
5099,94116/AL,94116
5100,90907/AL,90907
5101,95539/AL,95539
5102,95543/AL,95543
5104,95542/AL,95542
5105,95545/AL,95545
5106,99422/AL,99422
5107,95541/AL,95541
5108,95544/AL,95544
5109,84630/AL,84630
5110,95546/AL,95546
5111,91929/AL,91929
5112,95547/AL,95547
5114,85613/AL,85613
5116,92736/AL,92736
5119,nan,
5122,55201,55201
5127,nan,
5129,121421/AL,121421
5130,12465/AL,12465
5132,95290/AL,95290
5134,95290/AL,95290
5137,95290/AL,95290
5138,94173/AL,94173
5139,95290/AL,95290
5141,95290/AL,95290
5142,96034/AL,96034
5143,95290/AL,95290
5144,95743 / AL,95743
5145,110726/AL,110726
5146,Exempt,
5147,95488/AL,95488
5148,85544/AL,85544
5149,Exempt,
5150,82819/AL,82819
5151,96878/AL,96878
5153,34660/AL,34660
5154,98269/AL,98269
5158,93467/AL,93467
5163,85535/AL,85535
5165,94170/AL,94170
5167,30720/AL,30720
5169,30709/AL,30709
5172,95537/AL,95537
5174,65077/AL,65077
5175,88503/AL,88503
5176,Exempt,
5179,130272/AL,130272
5180,89234/AL,89234
5181,94772/AL,94772
5182,670682,670682
5183,30721/AL,30721
5184,95536/AL,95536
5185,84883/AL,84883
5186,96489/AL,96489
5187,30927/AL,30927
5188,30706/AL,30706
5189,30709/AL,30709
5190,30703/AL,30703
5191,30717/AL,30717
5192,30723/AL,30723
5194,52959/AL,52959
