,license,license_cleaned
439,85444/AL,85444
441,85444/AL,85444
442,53757/AL,53757
443,65101/AL,65101
445,19218/AL,19218
447,45339/AL,45339
448,76049/AL,76049
449,76265/AL,76265
450,6471/AL,6471
451,45309/AL,45309
452,8626-AL,8626
453,76049/AL,76049
454,55903/AL,55903
455,nan,
456,19703/AL,19703
457,42524/AL,42524
459,5227/AL,5227
461,50192/AL,50192
462,4567/AL,4567
463,43359/AL,43359
464,82938/AL,82938
465,43353/AL,43353
466,43352/AL,43352
467,3665/AL,3665
468,20524/AL,20524
470,28217/AL,28217
471,20523/AL,20523
472,28217/AL,28217
473,28217/AL,28217
474,8172/AL,8172
475,48302/AL,48302
476,22464/AL,22464
478,5651/AL,5651
479,26464/AL,26464
480,12475/AL,12475
483,342/AL,342
484,5525/AL,5525
485,AL 52876,52876
486,26435/AL,26435
487,8562-AL,8562
489,4115/AL,4115
490,nan,
491,5327/AL,5327
492,nan,
493,50533/AL,50533
494,nan,
495,nan,
496,8458/AL,8458
497,nan,
498,15533/AL,15533
499,24056/AL,24056
500,23947/AL,23947
501,50930/AL,50930
502,6091/AL,6091
503,5015/AL,5015
504,82216/AL,82216
505,26404/AL,26404
506,11092/AL,11092
507,11094/AL,11094
508,11095/AL,11095
510,105558/AL,105558
512,65099/AL,65099
513,38212/AL,38212
514,nan,
515,120760/AL,120760
516,nan,
517,19702/AL,19702
518,26385/AL,26385
519,66582/AL,66582
522,nan,
523,20542/AL,20542
525,nan,
528,44073/AL,44073
529,7979/AL,7979
531,64646/AL,64646
532,3171/AL,3171
533,10484/AL,10484
534,1584/AL,1584
535,11090/AL,11090
537,7042/AL,7042
538,34661/AL,34661
539,5930/AL,5930
540,11093/AL,11093
541,11096/AL,11096
542,53355-AL,53355
543,Exempt,
546,109483/AL,109483
548,28995/AL,28995
549,14519 AL,14519
550,53401/AL,53401
552,10248/AL,10248
553,16825/AL,16825
555,10994/AL,10994
556,90430/AL,90430
558,12465/AL,12465
559,8976/AL,8976
560,7133/AL,7133
561,5929/AL,5929
562,6714/AL,6714
565,21443/AL,21443
567,45726/AL,45726
568,78404/AL,78404
569,nan,
570,210947/AL,210947
571,26386/AL,26386
572,50893/AL,50893
573,11254/AL,11254
574,7334/AL,7334
575,17887/AL,17887
576,24177/AL,24177
577,6701/AL,6701
580,24343/AL,24343
582,12338/AL,12338
585,94270/AL,94270
586,nan,
587,7057/AL,7057
588,94270/AL,94270
589,19068/AL,19068
592,nan,
593,11997/AL,11997
595,84721/AL,84721
596,11992/AL,11992
597,11989/AL,11989
598,11986/AL,11986
600,11996/AL,11996
601,65806/AL,65806
602,14517 AL,14517
603,13952 AL,13952
604,9825,9825
605,20282/AL,20282
606,112665/AL,112665
607,18668/AL,18668
608,26403/AL,26403
609,26856/AL,26856
610,26389/AL,26389
611,7815/AL,7815
612,89950/AL,89950
614,82280/AL,82280
615,20402/AL,20402
618,nan,
619,nan,
620,nan,
621,55860/AL,55860
622,nan,
623,nan,
624,nan,
625,nan,
626,nan,
628,nan,
631,5723/AL,5723
632,23111/AL,23111
634,23686/AL,23686
635,6783/AL,6783
636,12613/AL,12613
637,25717/AL,25717
638,11423/AL,11423
639,45618/AL,45618
640,26341/AL,26341
642,34099/AL,34099
645,nan,
646,nan,
647,nan,
648,23392/AL,23392
649,22170/AL,22170
651,71108/AL,71108
652,13418/AL,13418
653,nan,
654,43285/AL,43285
655,nan,
656,6766/AL,6766
658,6686/AL,6686
662,AL-38370,38370
663,nan,
664,55361/AL,55361
666,21573/AL,21573
667,13280/AL,13280
668,5116/AL,5116
669,13284/AL,13284
670,66502/AL,66502
671,nan,
672,22071/AL,22071
673,13429/AL,13429
674,28842/AL,28842
675,58574/AL,58574
677,nan,
678,14001/AL,14001
679,24590/AL,24590
680,nan,
682,Licence nº 18646/AL,18646
683,nan,
684,3980/AL,3980
687,37632/AL,37632
688,5916/AL,5916
689,nan,
691,35552/AL,35552
692,16863/AL,16863
693,nan,
695,68413/AL,68413
696,nan,
698,14810/AL,14810
701,66452/AL,66452
703,nan,
704,22101/AL,22101
705,28858/AL,28858
706,19333/AL,19333
707,43284/AL,43284
709,45862/AL,45862
710,59995/AL,59995
712,18939/AL,18939
713,17817/AL,17817
714,35547/AL,35547
715,14683/AL,14683
716,nan,
717,100122/AL,100122
719,43286/AL,43286
720,19178/AL,19178
722,35745/AL,35745
724,21270/AL,21270
725,29537/AL,29537
726,23479/AL,23479
728,62723/AL,62723
729,nan,
730,nan,
732,83578/AL,83578
733,nan,
734,16685/AL,16685
736,nan,
738,16126/AL,16126
739,16127/AL,16127
740,AL 16856,16856
741,91991/AL,91991
742,15618/AL,15618
744,35554/AL,35554
745,nan,
746,nan,
747,16689/AL,16689
749,114579/AL,114579
750,nan,
751,73618/AL,73618
752,37729/AL,37729
753,13823/AL,13823
754,nan,
756,nan,
759,16825/AL,16825
760,nan,
761,nan,
762,18584/AL,18584
763,98666/AL,98666
764,34092/AL,34092
765,nan,
766,Licence nº 15228/AL,15228
767,17655/AL,17655
768,24321/AL,24321
770,21053/AL,21053
772,24058/AL,24058
773,55903/AL,55903
777,33333/AL,33333
778,64825/AL,64825
782,9825,9825
783,9825,9825
786,39646/AL,39646
787,13271/AL,13271
788,5720/AL,5720
789,nan,
791,21011/AL,21011
792,nan,
793,nan,
794,nan,
797,nan,
798,56055/AL,56055
799,24059/AL,24059
802,nan,
804,nan,
805,AL n. 17326  Apartamento S.João,17326
806,AL23105,23105
807,29821/AL,29821
808,38327/AL,38327
809,38329/AL,38329
810,64912/AL,64912
811,nan,
813,65019/AL,65019
814,19179/AL,19179
815,18095/AL,18095
816,nan,
817,nan,
818,18716/AL,18716
821,nan,
825,19868/AL,19868
826,39045/14/CMP,39045
832,nan,
833,nan,
834,PT509067786,509067786
835,21097/AL,21097
837,128082/AL,128082
839,PT509067786,509067786
840,22732/AL,22732
841,PT509067786,509067786
843,18016/AL,18016
844,55855/AL,55855
845,92730/AL,92730
846,35032/AL,35032
847,21108/AL,21108
848,21097/AL,21097
851,68133/AL,68133
853,31348/AL.,31348
854,nan,
855,38325/AL,38325
856,19596/AL,19596
857,nan,
858,nan,
859,52367/AL,52367
860,23576/AL,23576
863,21860/AL,21860
864,nan,
865,nan,
869,21245/AL,21245
870,21243/AL,21243
871,17622/AL,17622
872,19616/AL,19616
874,nan,
878,37850,37850
879,21140/AL,21140
880,20505/AL,20505
881,nan,
882,19198-AL-2015,19198
883,21674/AL,21674
884,47108/AL,47108
885,nan,
886,nan,
888,31764/AL,31764
889,37319/AL,37319
890,20337/AL,20337
891,39422/AL,39422
892,7091/AL,7091
894,19881/AL,19881
895,18352/AL,18352
896,nan,
897,nan,
900,nan,
901,19167/AL,19167
903,nan,
904,19180/AL,19180
906,21069/AL,21069
907,nan,
909,19182/AL,19182
911,nan,
912,nan,
913,nan,
914,19183/AL,19183
915,101691/AL,101691
916,20544/AL,20544
917,19184/AL,19184
918,nan,
919,20544/AL,20544
920,19147/AL,19147
921,20713/AL,20713
922,19181/AL,19181
923,20476/AL,20476
924,32557/AL,32557
925,18353/AL,18353
926,104230/AL,104230
928,18358/AL,18358
929,20629/AL,20629
930,nan,
932,20630/AL,20630
935,20631/AL,20631
936,20632/AL,20632
937,20633/AL,20633
940,20634/AL,20634
941,132543/AL,132543
943,nan,
945,39045/14/CMP,39045
949,31917/AL,31917
950,22531/AL,22531
951,20532/AL,20532
952,nan,
953,nan,
954,22534/AL,22534
955,nan,
956,22415/AL,22415
959,20715/AL,20715
960,21326/AL,21326
961,100597/AL,100597
964,nan,
965,28839/AL,28839
966,24276/AL,24276
967,20544/AL,20544
968,29265/AL,29265
969,20544/AL,20544
970,20544/AL,20544
971,35743/AL,35743
972,20544/al,20544
973,23130/AL,23130
974,20544/al,20544
975,22917/AL,22917
976,20544/al,20544
977,46813/AL,46813
980,nan,
981,nan,
982,0,0
983,71549/AL,71549
984,28325/AL,28325
985,nan,
986,32731/AL,32731
987,24550/AL,24550
988,23046 A.L.,23046
989,6517/AL,6517
992,50052/AL,50052
993,23100,23100
994,118553/AL,118553
995,118553/AL,118553
996,118553/AL,118553
997,nan,
998,23101,23101
1000,57113/AL,57113
1001,84749/AL.,84749
1002,nan,
1003,22941/AL,22941
1004,nan,
1005,36262/AL,36262
1006,22316/AL,22316
1007,72891/AL,72891
1008,84694/AL,84694
1009,33806/AL,33806
1011,128931/AL,128931
1013,25415/AL,25415
1014,22448/AL,22448
1015,36248/AL,36248
1016,20722/AL,20722
1017,26942/AL,26942
1018,34196/AL,34196
1019,45783/AL,45783
1021,21460/AL,21460
1022,388701/AL,388701
1023,20638/AL,20638
1024,31499/AL,31499
1025,25732/AL,25732
1026,nan,
1027,38645/AL,38645
1028,nan,
1029,21904/AL,21904
1030,30026/AL,30026
1032,60001/AL,60001
1038,26673/AL,26673
1039,23003/AL,23003
1040,27522/AL,27522
1043,33572/AL,33572
1044,24593/AL,24593
1045,22315/AL,22315
1046,12613/AL,12613
1047,nan,
1049,33576/AL,33576
1050,33693/AL,33693
1051,82532/AL,82532
1052,37703/AL,37703
1053,nan,
1055,nan,
1056,37732/AL,37732
1057,32676/AL,32676
1058,32691/AL,32691
1061,32682/AL,32682
1062,4961/AL,4961
1063,24324/AL,24324
1064,49594/AL,49594
1066,24355/AL,24355
1067,117481/AL,117481
1068,25750/AL,25750
1069,22017/AL,22017
1070,24057/AL,24057
1072,23437 AL,23437
1073,125877/AL,125877
1074,nan,
1075,24709/AL,24709
1076,36115/AL,36115
1078,nan,
1079,Exempt,
1080,23404/AL,23404
1081,28458/AL,28458
1082,9618/2018,9618
1083,23195/AL,23195
1087,4961/AL,4961
1089,20542;20629;20630;20631;20632;20633;20634/AL,20542
1090,nan,
1093,23297AL,23297
1094,45667/AL,45667
1095,23296AL,23296
1096,nan,
1097,43453/AL,43453
1099,4573/AL,4573
1101,30848/AL,30848
1102,24508/AL,24508
1104,29342/AL,29342
1105,nan,
1106,nan,
1107,121243/AL,121243
1108,60104/AL,60104
1109,76689/AL,76689
1112,13789/AL,13789
1114,41548/AL,41548
1115,25995/AL,25995
1116,23534/AL,23534
1117,AL/49984,49984
1120,26378/AL,26378
1121,27516/AL,27516
1122,nan,
1123,nan,
1125,nan,
1127,123459/AL,123459
1128,36055/AL,36055
1129,52918/AL,52918
1130,27568/AL,27568
1132,53340/AL,53340
1134,92550/AL,92550
1138,nan,
1139,87316/AL,87316
1140,nan,
1143,nan,
1144,57630/AL,57630
1146,58426/AL,58426
1147,24483/AL,24483
1148,33854/AL,33854
1149,92550/AL,92550
1150,33857/AL,33857
1151,66044/AL,66044
1154,81363/AL,81363
1155,102656/AL,102656
1156,nan,
1157,25537/AL,25537
1158,29963/AL,29963
1159,nan,
1160,nan,
1162,49478/AL,49478
1163,92550/AL,92550
1164,38427/AL,38427
1166,nan,
1167,24350/AL,24350
1170,26181/AL,26181
1171,nan,
1172,24844/AL,24844
1173,23297AL,23297
1174,34771/AL,34771
1175,27510/AL,27510
1176,62002/AL,62002
1177,23297AL,23297
1178,Registo nº13939/AL,13939
1179,Registo nº5848/AL,5848
1180,92550/AL,92550
1181,92550/AL,92550
1183,60451/AL,60451
1186,65559/AL,65559
1190,27315/AL,27315
1192,28385/AL,28385
1195,92550/AL,92550
1196,92550/AL,92550
1197,25997/AL,25997
1198,85159/AL,85159
1199,34666/AL,34666
1200,nan,
1201,nan,
1202,nan,
1203,nan,
1204,nan,
1205,nan,
1206,nan,
1207,nan,
1209,nan,
1210,23899/AL,23899
1212,24392/AL,24392
1213,29667/AL,29667
1214,38531/AL,38531
1215,nan,
1216,nan,
1217,nan,
1219,nan,
1220,31776/AL,31776
1221,nan,
1222,nan,
1223,nan,
1224,nan,
1226,nan,
1229,nan,
1231,nan,
1232,nan,
1234,30333/AL,30333
1236,nan,
1239,27934/AL,27934
1240,5620/AL,5620
1241,28236/AL.,28236
1242,27530/AL,27530
1243,5620/AL,5620
1244,133237/AL,133237
1245,nan,
1247,5620/AL,5620
1248,nan,
1249,nan,
1250,35486/AL,35486
1251,57005/AL,57005
1252,29585/AL; 29586/AL; 29587/AL; 29588/AL; 29589/AL; 29592/AL,29585
1253,nan,
1255,29592/AL,29592
1257,nan,
1258,41175/AL,41175
1259,nan,
1261,64134/AL,64134
1264,40151/AL,40151
1266,106292/AL,106292
1267,33337/AL,33337
1268,27164/AL,27164
1269,77259/AL,77259
1270,27491/AL,27491
1271,27386/AL,27386
1272,Exempt,
1273,26560/AL,26560
1274,25998/AL,25998
1275,87505/AL,87505
1276,140566/AL,140566
1277,64127/AL,64127
1278,49562/AL,49562
1279,nan,
1280,8756/AL,8756
1281,37781/AL,37781
1282,nan,
1286,nan,
1287,55197/AL,55197
1288,34090/AL,34090
1290,65021/AL,65021
1291,33528/AL,33528
1292,29585/AL,29585
1294,29587/AL,29587
1296,64128/AL,64128
1298,49729/AL,49729
1299,64086/AL,64086
1300,nan,
1302,28383/AL,28383
1307,27952/AL,27952
1308,34743/AL,34743
1309,27181/AL,27181
1310,65692/AL,65692
1311,nan,
1313,nan,
1314,28821/AL,28821
1315,nan,
1316,nan,
1317,nan,
1319,nan,
1322,nan,
1323,28242/AL,28242
1324,46292/AL,46292
1325,nan,
1326,64135/AL,64135
1327,nan,
1329,28164/AL,28164
1331,29258/AL,29258
1332,nan,
1333,28646/AL,28646
1336,56134/AL,56134
1337,38243/AL,38243
1338,28165/AL,28165
1339,47509/AL,47509
1340,nan,
1342,74755/AL,74755
1343,30854/AL,30854
1344,30857/AL,30857
1345,27770/AL,27770
1346,27778/AL,27778
1348,27773/AL,27773
1349,nan,
1350,27789/AL,27789
1351,32481/AL,32481
1352,28158/AL,28158
1353,nan,
1354,29588/AL,29588
1355,29589/AL,29589
1356,29946/AL,29946
1357,29947/AL,29947
1359,29586/AL,29586
1360,56580/AL,56580
1361,30754/AL,30754
1363,74860/AL,74860
1366,nan,
1367,nan,
1368,28511/AL,28511
1369,66557 /AL,66557
1370,48300/AL,48300
1371,46443/AL,46443
1373,nan,
1374,29953/AL,29953
1375,nan,
1376,55955/AL,55955
1378,nan,
1380,nan,
1381,nan,
1382,nan,
1383,49371/AL,49371
1384,29288/AL,29288
1385,29857/AL,29857
1386,30166/AL,30166
1387,nan,
1388,81404/AL,81404
1389,nan,
1390,78832/AL,78832
1391,78834/AL,78834
1392,30849/AL,30849
1393,51895/AL,51895
1394,78835/AL,78835
1396,78836/AL,78836
1397,31186/AL,31186
1398,25283/AL,25283
1399,nan,
1401,44231/AL,44231
1406,30178/AL,30178
1407,31498/AL,31498
1410,30347/AL,30347
1411,30357/AL,30357
1413,nan,
1414,27305/AL,27305
1415,35484/AL,35484
1416,nan,
1417,30503/AL,30503
1418,nan,
1419,51602/AL,51602
1420,nan,
1421,nan,
1422,50892/AL,50892
1423,nan,
1424,nan,
1425,39496/AL,39496
1426,nan,
1427,28685/AL,28685
1428,84264/AL,84264
1429,31680/AL,31680
1430,61913/AL,61913
1431,30258/AL,30258
1432,31495/AL,31495
1433,34131/AL,34131
1434,30264/AL,30264
1435,44460/AL,44460
1437,28683/AL,28683
1439,65694/AL,65694
1440,30605/AL,30605
1443,nan,
1444,nan,
1445,nan,
1447,74776/AL,74776
1449,32219/AL,32219
1450,nan,
1451,28678/AL,28678
1452,35936/AL,35936
1454,nan,
1455,nan,
1460,31187/AL,31187
1461,nan,
1462,17516/AL,17516
1463,31747/AL,31747
1464,29686/AL,29686
1465,nan,
1466,83495/AL,83495
1468,46478/AL,46478
1469,nan,
1470,32471/AL,32471
1471,nan,
1474,44460/AL,44460
1475,44460/AL,44460
1476,44460/AL,44460
1477,nan,
1478,27307/AL,27307
1479,47501/AL,47501
1480,nan,
1481,30685/AL,30685
1482,nan,
1484,nan,
1485,27178/AL,27178
1487,96952/AL,96952
1488,34904/AL,34904
1489,nan,
1490,31936/AL,31936
1491,nan,
1492,85380/AL,85380
1493,31936/AL,31936
1494,31689,31689
1495,nan,
1497,31106/AL,31106
1498,66455/AL,66455
1499,45876/AL,45876
1500,nan,
1501,58512/AL,58512
1502,31936/AL,31936
1503,78231/AL,78231
1505,nan,
1507,31936/AL,31936
1508,31936/AL,31936
1509,82189/AL,82189
1510,nan,
1511,31936/AL,31936
1513,33161/AL,33161
1514,nan,
1516,18791/AL,18791
1517,31936/AL,31936
1518,17519/AL,17519
1520,30856/AL,30856
1521,58450/AL.,58450
1522,Licence nº 30434/AL,30434
1524,32923/AL,32923
1526,49009/AL,49009
1527,49639/AL,49639
1529,31787/AL,31787
1530,nan,
1531,33298/AL,33298
1533,38383/AL,38383
1534,31795/AL,31795
1535,nan,
1536,31781/AL,31781
1537,36647/AL,36647
1539,6648/AL,6648
1540,nan,
1542,68916\AL,68916
1543,27303/AL,27303
1544,37521/AL,37521
1546,nan,
1547,nan,
1548,nan,
1553,nan,
1555,nan,
1559,AL 45909,45909
1561,48369/AL,48369
1562,60893/AL,60893
1563,nan,
1564,86199/AL,86199
1565,nan,
1567,nan,
1568,35937/AL,35937
1569,34050/AL,34050
1573,36600/AL,36600
1574,44824/AL,44824
1575,55201,55201
1576,nan,
1580,89643/AL,89643
1581,50968/AL,50968
1582,35729/AL,35729
1584,nan,
1585,33891/Al,33891
1586,nan,
1587,50894/AL,50894
1588,32279/AL,32279
1593,20330/AL,20330
1594,nan,
1595,34709/AL,34709
1596,nan,
1598,82613/AL,82613
1599,33876/AL,33876
1601,85111/AL,85111
1602,32451/AL,32451
1603,72902/AL,72902
1604,39755/AL,39755
1605,33126/AL,33126
1606,55535/AL,55535
1607,35391/AL,35391
1608,nan,
1610,30901/AL,30901
1611,75124/AL,75124
1612,nan,
1613,32762/AL,32762
1614,44817/AL,44817
1617,nan,
1618,nan,
1619,35368/AL,35368
1620,nan,
1621,nan,
1622,nan,
1623,nan,
1626,31983/AL,31983
1627,33291/AL,33291
1629,31983/AL,31983
1630,nan,
1633,35729/AL,35729
1634,nan,
1635,45183/AL,45183
1636,nan,
1637,nan,
1638,34243/AL,34243
1639,nan,
1640,30308/AL,30308
1641,38924/AL,38924
1644,46072/AL,46072
1645,72764/AL,72764
1646,85169/AL,85169
