id,geometry,novos_ET
Rua Doutor Artur Magalhães Basto,"{'type': 'MultiLineString', 'coordinates': [[[-8.6121861, 41.1471763], [-8.6121647, 41.1471654], [-8.612152, 41.1471589], [-8.6121199, 41.1471425], [-8.6117246, 41.1469518], [-8.6116134, 41.1468982], [-8.6115434, 41.1468907], [-8.6114857, 41.1468841]], [[-8.6114857, 41.1468841], [-8.6115434, 41.1468907], [-8.6116134, 41.1468982], [-8.6117246, 41.1469518], [-8.6121199, 41.1471425], [-8.612152, 41.1471589], [-8.6121647, 41.1471654], [-8.6121861, 41.1471763]]]}",0
Rua da Fábrica,"{'type': 'MultiLineString', 'coordinates': [[[-8.6121861, 41.1471763], [-8.6122153, 41.1471899], [-8.6133682, 41.1475478]], [[-8.6137484, 41.1476349], [-8.6133682, 41.1475478]], [[-8.6140516, 41.1477221], [-8.6137484, 41.1476349]]]}",0
Rua de Avis,"{'type': 'MultiLineString', 'coordinates': [[[-8.6133682, 41.1475478], [-8.6131662, 41.1479536], [-8.6131551, 41.1480043]], [[-8.6131551, 41.1480043], [-8.613128, 41.1482774]]]}",0
Rua do Conde de Vizela,"{'type': 'MultiLineString', 'coordinates': [[[-8.6133682, 41.1475478], [-8.6135731, 41.1469635], [-8.6135552, 41.1460215], [-8.6135643, 41.1460118], [-8.6135871, 41.1459874]], [[-8.6135871, 41.1459874], [-8.6136028, 41.1459706], [-8.6136273, 41.1459444]]]}",0
Rua dos Clérigos,"{'type': 'MultiLineString', 'coordinates': [[[-8.6122327, 41.1459905], [-8.6121369, 41.146], [-8.6117878, 41.1460319]], [[-8.6135435, 41.145891], [-8.6134603, 41.145874], [-8.6133804, 41.1458802]], [[-8.6124411, 41.1459721], [-8.612322, 41.145983], [-8.6122327, 41.1459905]], [[-8.6133804, 41.1458802], [-8.6124411, 41.1459721]], [[-8.6117878, 41.1460319], [-8.611684, 41.1460414], [-8.6116329, 41.1460434]]]}",0
Largo dos Lóios,"{'type': 'MultiLineString', 'coordinates': [[[-8.6122327, 41.1459905], [-8.6122424, 41.145953], [-8.6122408, 41.1459166]], [[-8.6122408, 41.1459166], [-8.6122305, 41.1456598], [-8.6122291, 41.1456239], [-8.6121464, 41.145509], [-8.612061, 41.145401]], [[-8.612061, 41.145401], [-8.6120337, 41.14536], [-8.6118836, 41.1451202], [-8.6118784, 41.1451128]], [[-8.612061, 41.145401], [-8.6120802, 41.1453838], [-8.612164, 41.1453085], [-8.6124524, 41.1450521], [-8.6124637, 41.1450421]]]}",0
Rua de Cedofeita,"{'type': 'MultiLineString', 'coordinates': [[[-8.616886, 41.1501886], [-8.6165772, 41.1495588]], [[-8.6176031, 41.1515875], [-8.6175938, 41.1515535], [-8.617168, 41.1506802]], [[-8.6180312, 41.1524873], [-8.6179199, 41.1522366]], [[-8.6179199, 41.1522366], [-8.6176398, 41.1516719], [-8.6176031, 41.1515875]], [[-8.6188807, 41.1551988], [-8.6189002, 41.155124], [-8.6189758, 41.1549974]], [[-8.6193259, 41.1562894], [-8.6193023, 41.1562088], [-8.6191649, 41.155516]], [[-8.6190683, 41.1552341], [-8.6190306, 41.155147], [-8.6189758, 41.1549974]], [[-8.6191649, 41.155516], [-8.6191192, 41.1553562], [-8.6190683, 41.1552341]], [[-8.617168, 41.1506802], [-8.617158, 41.1506595], [-8.6169577, 41.1502463], [-8.616886, 41.1501886]], [[-8.6165772, 41.1495588], [-8.6164629, 41.1493278], [-8.6164438, 41.1492893]], [[-8.6164438, 41.1492893], [-8.6163094, 41.1489759], [-8.6162604, 41.1488617]], [[-8.6183052, 41.1530487], [-8.6182826, 41.1529861], [-8.6182597, 41.152934]], [[-8.6182597, 41.152934], [-8.6180312, 41.1524873]], [[-8.6189758, 41.1549974], [-8.61888, 41.1546692], [-8.6183052, 41.1530487]]]}",2
Rua Diogo Brandão,"{'type': 'MultiLineString', 'coordinates': [[[-8.6177711, 41.1500662], [-8.6175418, 41.149172]]]}",0
Rua de Miguel Bombarda,"{'type': 'MultiLineString', 'coordinates': [[[-8.6177711, 41.1500662], [-8.6177224, 41.1500708], [-8.6176992, 41.150073], [-8.616987, 41.1501741], [-8.616886, 41.1501886]], [[-8.6229257, 41.1493674], [-8.6208752, 41.1496431]], [[-8.6208752, 41.1496431], [-8.6185917, 41.1499529]], [[-8.6185917, 41.1499529], [-8.6177711, 41.1500662]]]}",0
Rua do Breiner,"{'type': 'MultiLineString', 'coordinates': [[[-8.6176031, 41.1515875], [-8.6185977, 41.1513402]], [[-8.6210612, 41.1507186], [-8.6230542, 41.1502192]], [[-8.6185977, 41.1513402], [-8.6210612, 41.1507186]]]}",0
