,Denominacao,Endereco
7846,"Injoy, Oporto Palácio Príncipes",Rua Rua Miguel Bombarda 10 1.º C Fracção Q
7939,Downtown House Santa Helena I,Rua Rua Santa Helena 64/68 e 70 2º Esquerdo 
8056,Lazy - ALS E,Rua Rua Oliveiras 114 1 Fr. E
8146,Casa da Calçada 3,Rua Rua Calçada 46 casa 3 
8353,Magical September,Rua Rua Loureiro 108 a 114  1/2/3/4 
8481,TOP PORTO,"Rua Rua Campinho 33 R/C, 1 e 2 "
8767,Pinheiros 101,Rua Rua Pinheiro 70 1º FT
8837,Pinheiros 202,Rua Rua Pinheiro 70 2º TR
8925,Pinheiros 201,Rua Rua Pinheiro 70 2º FRT
9073,Formosa 99,Rua Rua Formosa 99 3/4 andar  fracção I
9125,Downtown House Santa Helena C,Rua Rua Santa Helena 64/68 e 70 R/C C
9368,Casa do Manoel,Rua Rua Constituição 2105 5.º Andar Dt.º S22
9502,Casa da Calçada 2,Rua Rua Calçada 46 casa 2 
9703,Nelson André Vieira Barbosa,Rua Freixo 979 Blc. A R/C Hab. 0.3
9750,AGRAPE STAY PORTO B,Rua Rua Chã 76 1.º; 2.º Frente
