id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25485516,Casa 8 - Fontainhas Duplex          LIMPO & SEGURO,192341244,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14366,-8.60217,Entire home/apt,61,2,238,2022-12-10,4.30,1,233,56,71011/AL
25485546,Luxury Duplex at Santa Catarina,60887746,Porto D'Alma,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15051,-8.60572,Entire home/apt,126,2,32,2022-08-24,0.59,3,364,3,75694/AL
25485971,Quarto de Casal,153167795,Glicia,MATOSINHOS,Matosinhos e Leça da Palmeira,41.18488,-8.69078,Shared room,18,31,2,2018-07-26,0.04,4,0,0,Exempt
25795380,Vintage House - Gaia - Porto - Praias,193848610,Filipe,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13249,-8.63548,Entire home/apt,80,1,2,2019-09-25,0.05,1,0,0,102613/AL
25497779,HM - Flores Skylight,47191303,Home Me,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14497,-8.61301,Entire home/apt,87,1,187,2022-11-28,3.40,41,303,38,71713/AL
25500907,Modern Home in the Historic Center,1152515,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14287,-8.60973,Entire home/apt,76,2,202,2022-12-08,3.71,2,63,68,69789/AL.
25511274,Casa Portugueza Experience-10/12 People,31222173,Marta,PORTO,Bonfim,41.15916,-8.59337,Entire home/apt,372,2,18,2022-11-13,0.33,3,311,4,71889/AL
26039359,"Apartament 2 Room, 5 Person - V.N.Gaia, Porto",195701358,Maria Julia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14382,-8.64596,Entire home/apt,65,10,37,2022-10-21,0.69,1,1,13,78319/AL
25799285,Bonas House,193873406,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15606,-8.60763,Entire home/apt,100,2,102,2022-11-27,1.86,1,292,44,93000/AL
26048057,The Tiny Boho,195764124,Catarina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15928,-8.62386,Entire home/apt,50,2,16,2019-11-03,0.30,1,59,0,70966/AL
26049088,Oporto City Cottage,195769887,Carla,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15901,-8.613,Entire home/apt,66,2,49,2022-11-11,0.90,1,120,19,73671/AL
26050931,Rafa Room- quarto 1,87338459,Julieta,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.11101,-8.52999,Private room,50,1,0,,,5,291,0,66421/AL
25532959,AMAZING SUITE IN COSTA CABRAL BOUTIQUE 4,78759545,Esmeralda Et Richard,PORTO,Paranhos,41.16814,-8.59046,Private room,55,2,6,2022-04-29,0.11,6,362,3,32175/AL
25533347,AMAZING SUITE IN COSTA CABRAL BOUTIQUE 5,78759545,Esmeralda Et Richard,PORTO,Paranhos,41.16796,-8.59183,Private room,45,2,3,2022-02-20,0.06,6,364,1,32175/AL
26165902,GuestReady - Terracota Bureau,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15367,-8.61692,Entire home/apt,34,1,131,2022-12-11,2.40,245,278,18,59358/AL
26186998,Kimia Casa - Porto,196821269,Kimia Casa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14751,-8.60717,Entire home/apt,61,4,24,2019-12-14,0.44,1,0,0,75279/AL
25805547,Stylish city house. Romantic garden. Caring hosts.,81259618,Aida,PORTO,Paranhos,41.16703,-8.60876,Private room,36,2,78,2022-11-20,1.43,1,0,22,Exempt
26191066,Luxury Suite,5881535,Nik,PORTO,Lordelo do Ouro e Massarelos,41.16085,-8.63674,Private room,61,1,35,2022-10-12,0.64,2,89,6,75228/AL
26195243,M&M House,142094220,Ana Amélia,PORTO,Bonfim,41.14639,-8.60039,Entire home/apt,40,2,76,2019-12-30,1.39,1,0,0,75409/AL
26055464,Boavista Family & Business by Porto City Hosts,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15783,-8.62766,Entire home/apt,176,1,129,2022-11-14,2.38,59,339,25,113887/AL
