,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,geometry,ALs,pressao,Freguesia
498,166174,13121601206,13,1312,131216,131216012,012,06,01206,13121601206,1,11,11A,14.0,11.0,3.0,13.0,0.0,14.0,0.0,1.0,13.0,0.0,0.0,3.0,68.0,68.0,64.0,4.0,46.0,63.0,49.0,9.0,64.0,34.0,30.0,46.0,28.0,165.0,87.0,78.0,18.0,29.0,80.0,38.0,491.966408909987,13696.079718045,"MULTIPOLYGON (((-8.676381369805554 41.16248799706994, -8.67636867692265 41.16238094687372, -8.676276076657905 41.16198723809166, -8.676211959151914 41.16180778704712, -8.676160665583243 41.16151486149274, -8.676322867569183 41.16147764713726, -8.676724746969636 41.161372893820804, -8.67732105849976 41.16122716938192, -8.677530178609697 41.16119596083684, -8.677706488674295 41.16117936889536, -8.67768787046101 41.161520435502744, -8.677679155774307 41.16167642444948, -8.677670569439263 41.16184360516292, -8.677677746924232 41.16199516987585, -8.677236628897475 41.1622333434955, -8.67689194006459 41.16241955547318, -8.676404392721697 41.16270033564532, -8.676381369805554 41.16248799706994)))",0.0,0.0,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
499,166175,13121801811,13,1312,131218,131218018,018,11,01811,13121801811,1,11,11A,68.0,49.0,19.0,67.0,42.0,26.0,35.0,19.0,8.0,0.0,6.0,34.0,155.0,155.0,113.0,42.0,28.0,51.0,73.0,36.0,113.0,75.0,38.0,78.0,34.0,259.0,122.0,137.0,41.0,20.0,130.0,68.0,756.658319898365,31905.375264525,"MULTIPOLYGON (((-8.658538590828693 41.16281873024634, -8.65851974216385 41.16281539458093, -8.657941833970565 41.16272124442226, -8.657535237103877 41.16265394940577, -8.657275989110714 41.162611194630024, -8.656996976671717 41.16256330755479, -8.65707210663507 41.162477820875004, -8.658203035651761 41.16109410866085, -8.658262238984742 41.16083808060549, -8.659205989175819 41.161317400235674, -8.659396090138225 41.16142435147073, -8.65990778857363 41.161712229132235, -8.660400056482159 41.161949168612864, -8.659619011301295 41.16241966907051, -8.659476336344605 41.16247902848246, -8.659390226047751 41.162511009144666, -8.658784155231006 41.16268826261353, -8.658703479529855 41.16271766073001, -8.658539200508315 41.16281883371628, -8.658538590828693 41.16281873024634)))",4.0,0.035398230088495575,União das freguesias de Lordelo do Ouro e Massarelos
500,166176,13120302905,13,1312,131203,131203029,029,05,02905,13120302905,1,11,11A,10.0,9.0,1.0,10.0,9.0,1.0,0.0,4.0,6.0,0.0,0.0,10.0,12.0,12.0,6.0,6.0,0.0,1.0,5.0,0.0,6.0,4.0,2.0,4.0,0.0,15.0,6.0,9.0,0.0,0.0,10.0,5.0,244.886353312653,3592.05432552245,"MULTIPOLYGON (((-8.572799862619497 41.163045962850596, -8.572655511063084 41.162690542335135, -8.572805719817834 41.16261810716384, -8.573018485358869 41.16256620502224, -8.573318069910531 41.162462702679726, -8.573405620472592 41.16243492370608, -8.57345591642906 41.16249076277578, -8.573595282906373 41.16274526716006, -8.573429596919032 41.16282816164257, -8.573342469692877 41.162940640181375, -8.573227927047185 41.163003268208534, -8.572844753630724 41.16318072517915, -8.572799862619497 41.163045962850596)))",0.0,0.0,Campanhã
501,166177,13121601207,13,1312,131216,131216012,012,07,01207,13121601207,1,11,11A,42.0,41.0,1.0,42.0,14.0,28.0,0.0,15.0,15.0,12.0,0.0,6.0,46.0,46.0,44.0,2.0,16.0,41.0,34.0,6.0,44.0,24.0,20.0,31.0,15.0,115.0,53.0,62.0,9.0,22.0,61.0,23.0,833.579145382788,32381.8882438113,"MULTIPOLYGON (((-8.67481753654336 41.1628198476833, -8.673972259333063 41.16262654953765, -8.67352969011435 41.162533009896045, -8.672612154716301 41.16233248071372, -8.672313933616481 41.16223177798098, -8.672213076101798 41.162175256285025, -8.672143599904791 41.16213632076967, -8.671361808750733 41.16178583019527, -8.67107239538963 41.16161936228026, -8.671030332902934 41.16159109784175, -8.672142570722507 41.16112327561702, -8.672425610544563 41.161005648100364, -8.672636608585949 41.16130738731485, -8.672751766547492 41.16137512317599, -8.672909830551237 41.16141263742246, -8.674115109229401 41.16149748429434, -8.674268823458283 41.161692343422736, -8.674906975937512 41.1619326034917, -8.674908350819575 41.16209071481098, -8.67491119064507 41.16244361883836, -8.674817924344268 41.16282006106287, -8.67481753654336 41.1628198476833)))",0.0,0.0,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
502,166178,13121705002,13,1312,131217,131217050,050,02,05002,13121705002,1,11,11A,32.0,21.0,11.0,30.0,8.0,24.0,15.0,12.0,3.0,0.0,2.0,14.0,141.0,141.0,107.0,34.0,39.0,73.0,82.0,18.0,107.0,80.0,27.0,70.0,22.0,221.0,90.0,131.0,16.0,17.0,99.0,89.0,548.796586048293,17945.0688973308,"MULTIPOLYGON (((-8.612599127570585 41.16289391013795, -8.612171059209803 41.16283588359643, -8.61257672062995 41.16211124277872, -8.61269428189826 41.161901247601456, -8.614300330173368 41.16209724430808, -8.614455140563365 41.16211613418746, -8.614401908556486 41.16236006714837, -8.614241437503289 41.16309552752436, -8.612599127570585 41.16289391013795)))",9.0,0.08411214953271028,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
503,166179,13121602504,13,1312,131216,131216025,025,04,02504,13121602504,1,11,11A,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,56.0,56.0,53.0,3.0,48.0,53.0,47.0,4.0,53.0,30.0,23.0,43.0,21.0,139.0,63.0,76.0,19.0,21.0,61.0,38.0,402.370776969366,7032.46850977893,"MULTIPOLYGON (((-8.667961233381918 41.16287672093281, -8.66754127086161 41.16280015251647, -8.66691397324114 41.16268968246662, -8.666418550043263 41.16261207387272, -8.666351362391824 41.16260154552676, -8.666292666250186 41.162590544726676, -8.666359350671721 41.1623468859533, -8.66639068517452 41.162194132823664, -8.667831533808224 41.16236756741719, -8.668216046968261 41.16292205738709, -8.667961233381918 41.16287672093281)))",0.0,0.0,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
504,166180,13120302906,13,1312,131203,131203029,029,06,02906,13120302906,1,11,11A,56.0,56.0,0.0,56.0,54.0,2.0,6.0,50.0,0.0,0.0,0.0,6.0,62.0,62.0,52.0,10.0,12.0,3.0,13.0,25.0,52.0,36.0,16.0,37.0,12.0,112.0,55.0,57.0,3.0,14.0,58.0,37.0,498.202103494458,15340.128724835,"MULTIPOLYGON (((-8.571338248110932 41.16327372145096, -8.570458716917173 41.16297317401895, -8.570499587294789 41.162805562326724, -8.570519275407074 41.162779555950344, -8.570680783349474 41.162566159935544, -8.570963520505407 41.16228868001557, -8.571338896628998 41.162035544097584, -8.571904595803197 41.16188342758619, -8.572001457912865 41.161966957446914, -8.572045992857747 41.16205067763568, -8.57205902317521 41.1621071455579, -8.57209343933911 41.16225626413015, -8.572119784184773 41.16229035232333, -8.572161225357398 41.16231750274801, -8.572198554206283 41.16233564738034, -8.572235896181722 41.16235379195044, -8.572416765811612 41.16240153394046, -8.572526907045535 41.162574926491914, -8.571811779257756 41.163013430278326, -8.571493991696963 41.163335723404295, -8.571338248110932 41.16327372145096)))",0.0,0.0,Campanhã
505,166181,13120202004,13,1312,131202,131202020,020,04,02004,13120202004,1,11,11A,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,26.0,26.0,20.0,6.0,8.0,9.0,9.0,9.0,20.0,15.0,5.0,7.0,4.0,33.0,16.0,17.0,2.0,4.0,12.0,15.0,269.176848678634,4520.53469291627,"MULTIPOLYGON (((-8.594523388411945 41.163253073441346, -8.593775835390652 41.163161802782994, -8.593894945559635 41.162535230212, -8.594655266638974 41.16263581977278, -8.594536197315827 41.16325463750838, -8.594523388411945 41.163253073441346)))",0.0,0.0,Bonfim
506,166182,13121601208,13,1312,131216,131216012,012,08,01208,13121601208,1,11,11A,55.0,54.0,1.0,55.0,30.0,25.0,12.0,22.0,8.0,12.0,1.0,11.0,62.0,62.0,53.0,9.0,23.0,42.0,33.0,15.0,53.0,29.0,24.0,43.0,20.0,146.0,74.0,72.0,24.0,13.0,71.0,38.0,1191.2120296624,59403.224237368,"MULTIPOLYGON (((-8.675820821201519 41.16289839326936, -8.675561419075914 41.16289628900727, -8.675032351175487 41.16289032525431, -8.674943098821768 41.162889036119005, -8.674817924344268 41.16282006106287, -8.67491119064507 41.16244361883836, -8.674908350819575 41.16209071481098, -8.674906975937512 41.1619326034917, -8.674268823458283 41.161692343422736, -8.674115109229401 41.16149748429434, -8.672909830551237 41.16141263742246, -8.672751766547492 41.16137512317599, -8.672636608585949 41.16130738731485, -8.672425610544563 41.161005648100364, -8.673493902792325 41.160574606754125, -8.673512473514858 41.16056701001788, -8.675729373923382 41.159659948355696, -8.675915310607056 41.1595774948509, -8.676111664846088 41.159868932780206, -8.676118642510307 41.1598886364776, -8.676122416021064 41.15990699562591, -8.676110402719129 41.159926770841885, -8.676087975616724 41.15994921630786, -8.675954568879304 41.16001030828204, -8.675921694284643 41.160031496423706, -8.675885473198257 41.16006716127939, -8.675864558378809 41.16012562319818, -8.675880982532574 41.16029661996811, -8.675914277175092 41.160396937884634, -8.676057812675294 41.16096434360681, -8.676160665583243 41.16151486149274, -8.676211959151914 41.16180778704712, -8.676276076657905 41.16198723809166, -8.67636867692265 41.16238094687372, -8.676381369805554 41.16248799706994, -8.676404392721697 41.16270033564532, -8.676206342466248 41.162810229178646, -8.67596805868397 41.1629236291911, -8.675820821201519 41.16289839326936)))",3.0,0.05660377358490566,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
507,166183,13121102704,13,1312,131211,131211027,027,04,02704,13121102704,1,11,11A,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,56.0,43.0,13.0,34.0,43.0,27.0,10.0,43.0,31.0,12.0,21.0,9.0,87.0,37.0,50.0,11.0,5.0,55.0,16.0,309.598256546533,5034.03306130248,"MULTIPOLYGON (((-8.633918110886782 41.16236703208698, -8.634404199425346 41.162155848655836, -8.635047972839518 41.162950228497586, -8.634623390136651 41.163224966852276, -8.633918110886782 41.16236703208698)))",0.0,0.0,Ramalde
